year_num,tm,attend_g,est_payroll,w,l
2015,HOU,26587,93256200,86,76
2015,KCR,33439,121590475,95,67
2015,LAA,37195,131522500,85,77
2015,LAD,46479,265140429,92,70
2015,MIA,21633,71231500,71,91
2015,MIL,31390,70869500,68,94
2015,MIN,27408,107755000,83,79
2015,NYM,31725,98874473,90,72
2015,NYY,39430,214051957,87,75
2015,OAK,21829,64016001,68,94
2015,PHI,22606,103082167,63,99
2015,PIT,30847,104457499,98,64
2015,SDP,30367,125203700,74,88
2015,SEA,27081,130681400,76,86
2015,SFG,41678,180018166,84,78
2015,STL,43468,128241500,100,62
2015,TBR,15322,64571233,80,82
2015,TEX,30764,178860789,88,74
2015,TOR,34505,117917400,93,69
2015,WSN,32344,176496372,83,79
2016,ARI,25138,78399500,69,93
2016,ATL,24950,74999750,68,93
2016,BAL,26819,153744833,89,73
2016,BOS,36487,218682750,93,69
2016,CHC,39906,176097333,103,58
2016,CHW,21559,113416000,78,84
2016,CIN,23384,77329561,68,94
2016,CLE,19650,94511067,94,67
2016,COL,32130,89707000,75,87
2016,DET,31173,199902000,86,75
2016,HOU,28477,89498000,84,78
2016,KCR,31577,125132675,81,81
2016,LAA,37236,139712000,74,88
2016,LAD,45720,231342096,91,71
2016,MIA,21405,72472000,79,82
2016,MIL,28575,52077500,73,89
2016,MIN,24246,93333700,59,103
2016,NYM,34440,155221282,87,75
2016,NYY,37820,193229350,84,78
2016,OAK,18784,54969067,69,93
2016,PHI,23644,84846666,71,91
2016,PIT,27768,81187933,78,83
2016,SDP,29030,50656166,68,94
2016,SEA,27999,137169100,86,76
2016,SFG,41546,177021333,87,75
2016,STL,42525,150353500,86,76
2016,TBR,15879,48223791,68,94
2016,TEX,33462,212117760,95,67
2016,TOR,41878,182690767,89,73
2016,WSN,30641,152967400,95,67
2017,ARI,26350,106580200,93,69
2017,ATL,30929,119705250,72,90
2017,BAL,25042,161621633,75,87
2017,BOS,36021,200550750,93,69
2017,CHC,39501,177210667,92,70
2017,CHW,20117,97842000,67,95
2017,CIN,22678,79315786,68,94
2017,CLE,25286,114427167,102,60
2017,COL,36465,106650000,87,75
2017,DET,28662,118375600,64,98
2017,HOU,29675,157656400,101,61
2017,KCR,27412,127555817,80,82
2017,LAA,37279,181125500,80,82
2017,LAD,46492,201466263,104,58
2017,MIA,20295,111591100,77,85
2017,MIL,31282,68439300,86,76
