REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Hierarchy for GEO,Classification Code for Labour force characteristics,Hierarchy for Labour force characteristics,Classification Code for Statistics,Hierarchy for Statistics,Classification Code for Data type,Hierarchy for Data type,val_norm,Date,Labour force characteristics,Statistics,Data type
2009-12,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,98.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,98400,2009-12-01,Unemployment,Estimate,Seasonally adjusted
2009-12,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.6,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.076,2009-12-01,Unemployment rate,Estimate,Seasonally adjusted
2010-01,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,104.8,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,104800,2010-01-01,Unemployment,Estimate,Seasonally adjusted
2010-01,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,8.1,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.081,2010-01-01,Unemployment rate,Estimate,Seasonally adjusted
2010-02,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,98.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,98400,2010-02-01,Unemployment,Estimate,Seasonally adjusted
2010-02,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.6,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.076,2010-02-01,Unemployment rate,Estimate,Seasonally adjusted
2010-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,102.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,102300,2010-03-01,Unemployment,Estimate,Seasonally adjusted
2010-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.08,2010-03-01,Unemployment rate,Estimate,Seasonally adjusted
2010-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,99.5,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,99500,2010-04-01,Unemployment,Estimate,Seasonally adjusted
2010-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.078,2010-04-01,Unemployment rate,Estimate,Seasonally adjusted
2010-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,99.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,99700,2010-05-01,Unemployment,Estimate,Seasonally adjusted
2010-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.8,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.078,2010-05-01,Unemployment rate,Estimate,Seasonally adjusted
2010-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,101.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,101400,2010-06-01,Unemployment,Estimate,Seasonally adjusted
2010-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.9,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.079,2010-06-01,Unemployment rate,Estimate,Seasonally adjusted
2010-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,93.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,93700,2010-07-01,Unemployment,Estimate,Seasonally adjusted
2010-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.07200000000000001,2010-07-01,Unemployment rate,Estimate,Seasonally adjusted
2010-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,90.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,90700,2010-08-01,Unemployment,Estimate,Seasonally adjusted
